CMDLINE /opt/homebrew/anaconda3/bin/python examples/prov4ml_torch.py
MEM 0.171875 1744798122.3930
MEM 35.125000 1744798122.4965
MEM 64.734375 1744798122.6017
MEM 100.953125 1744798122.7068
MEM 145.625000 1744798122.8123
MEM 164.765625 1744798122.9174
MEM 177.953125 1744798123.0226
MEM 184.921875 1744798123.1278
MEM 196.796875 1744798123.2329
MEM 205.171875 1744798123.3380
MEM 225.546875 1744798123.4431
MEM 252.812500 1744798123.5483
MEM 267.062500 1744798123.6535
MEM 279.328125 1744798123.7586
MEM 296.140625 1744798123.8600
MEM 319.031250 1744798123.9652
MEM 338.359375 1744798124.0683
MEM 348.953125 1744798124.1733
MEM 360.515625 1744798124.2766
MEM 373.531250 1744798124.3817
MEM 384.453125 1744798124.4870
MEM 391.437500 1744798124.5887
MEM 407.437500 1744798124.6890
MEM 421.546875 1744798124.7941
MEM 430.312500 1744798124.8992
MEM 440.828125 1744798125.0033
MEM 452.343750 1744798125.1084
MEM 466.171875 1744798125.2136
MEM 472.140625 1744798125.3188
MEM 472.140625 1744798125.4239
MEM 472.140625 1744798125.5266
MEM 472.140625 1744798125.6321
MEM 472.140625 1744798125.7364
MEM 472.140625 1744798125.8419
MEM 472.140625 1744798125.9451
MEM 472.140625 1744798126.0457
MEM 472.140625 1744798126.1511
MEM 472.140625 1744798126.2565
MEM 472.140625 1744798126.3620
MEM 472.140625 1744798126.4646
MEM 472.140625 1744798126.5701
MEM 472.140625 1744798126.6756
MEM 472.140625 1744798126.7810
MEM 472.140625 1744798126.8841
MEM 472.140625 1744798126.9858
MEM 472.140625 1744798127.0870
MEM 472.140625 1744798127.1924
MEM 472.140625 1744798127.2978
MEM 472.140625 1744798127.4004
MEM 472.140625 1744798127.5035
MEM 472.140625 1744798127.6087
MEM 472.140625 1744798127.7146
MEM 472.140625 1744798127.8201
MEM 472.140625 1744798127.9255
MEM 472.140625 1744798128.0269
MEM 472.140625 1744798128.1315
MEM 472.140625 1744798128.2366
MEM 472.140625 1744798128.3417
MEM 472.140625 1744798128.4468
MEM 472.140625 1744798128.5519
MEM 472.140625 1744798128.6571
MEM 472.140625 1744798128.7621
MEM 472.140625 1744798128.8627
MEM 472.140625 1744798128.9679
MEM 472.203125 1744798129.0726
MEM 472.203125 1744798129.1777
MEM 472.203125 1744798129.2798
MEM 472.203125 1744798129.3852
MEM 472.203125 1744798129.4905
MEM 472.203125 1744798129.5959
MEM 472.187500 1744798129.7011
MEM 472.187500 1744798129.8064
MEM 472.187500 1744798129.9116
MEM 472.328125 1744798130.0122
MEM 472.921875 1744798130.1173
MEM 581.640625 1744798130.2220
MEM 604.734375 1744798130.3271
MEM 616.656250 1744798130.4307
MEM 616.765625 1744798130.5359
MEM 616.843750 1744798130.6410
MEM 616.890625 1744798130.7462
MEM 616.953125 1744798130.8513
MEM 616.968750 1744798130.9564
MEM 617.015625 1744798131.0615
MEM 617.515625 1744798131.1653
MEM 617.515625 1744798131.2662
MEM 617.578125 1744798131.3666
MEM 617.578125 1744798131.4717
MEM 617.593750 1744798131.5768
MEM 617.625000 1744798131.6819
MEM 617.640625 1744798131.7864
MEM 617.656250 1744798131.8915
MEM 617.671875 1744798131.9965
MEM 617.718750 1744798132.1016
MEM 617.703125 1744798132.2068
MEM 617.734375 1744798132.3119
MEM 617.750000 1744798132.4170
MEM 617.796875 1744798132.5221
MEM 617.796875 1744798132.6265
MEM 617.812500 1744798132.7300
MEM 617.828125 1744798132.8339
MEM 617.843750 1744798132.9385
MEM 617.859375 1744798133.0422
MEM 617.921875 1744798133.1468
MEM 617.906250 1744798133.2515
MEM 617.921875 1744798133.3552
MEM 617.921875 1744798133.4596
MEM 618.109375 1744798133.5631
MEM 618.140625 1744798133.6684
MEM 618.171875 1744798133.7735
MEM 618.187500 1744798133.8765
MEM 618.187500 1744798133.9816
MEM 618.203125 1744798134.0869
MEM 618.218750 1744798134.1920
MEM 618.250000 1744798134.2972
MEM 618.250000 1744798134.4023
MEM 618.265625 1744798134.5028
MEM 618.265625 1744798134.6074
MEM 618.296875 1744798134.7114
MEM 618.296875 1744798134.8165
MEM 618.328125 1744798134.9216
MEM 618.343750 1744798135.0267
MEM 618.359375 1744798135.1319
MEM 618.375000 1744798135.2370
MEM 618.375000 1744798135.3421
MEM 618.390625 1744798135.4472
MEM 618.421875 1744798135.5524
MEM 618.421875 1744798135.6575
MEM 618.453125 1744798135.7598
MEM 618.468750 1744798135.8649
MEM 618.468750 1744798135.9681
MEM 618.515625 1744798136.0733
MEM 618.531250 1744798136.1765
MEM 618.562500 1744798136.2816
MEM 618.562500 1744798136.3868
MEM 618.578125 1744798136.4919
MEM 618.609375 1744798136.5970
MEM 618.640625 1744798136.7021
MEM 618.656250 1744798136.8072
MEM 618.656250 1744798136.9123
MEM 618.687500 1744798137.0175
MEM 618.703125 1744798137.1226
MEM 618.718750 1744798137.2277
MEM 618.734375 1744798137.3328
MEM 618.750000 1744798137.4347
MEM 618.765625 1744798137.5399
MEM 618.812500 1744798137.6450
MEM 618.859375 1744798137.7477
MEM 618.875000 1744798137.8514
MEM 618.875000 1744798137.9527
MEM 618.859375 1744798138.0578
MEM 618.859375 1744798138.1609
MEM 618.937500 1744798138.2657
MEM 618.906250 1744798138.3682
MEM 618.937500 1744798138.4733
MEM 618.968750 1744798138.5765
MEM 618.968750 1744798138.6816
MEM 619.000000 1744798138.7867
MEM 619.000000 1744798138.8918
MEM 619.031250 1744798138.9931
MEM 619.062500 1744798139.0982
MEM 619.062500 1744798139.2033
MEM 619.078125 1744798139.3084
MEM 619.078125 1744798139.4136
MEM 619.125000 1744798139.5181
MEM 619.125000 1744798139.6232
MEM 619.140625 1744798139.7283
MEM 619.187500 1744798139.8335
MEM 619.203125 1744798139.9347
MEM 619.421875 1744798140.0368
MEM 619.421875 1744798140.1420
MEM 619.421875 1744798140.2468
MEM 619.421875 1744798140.3514
MEM 619.421875 1744798140.4566
MEM 619.437500 1744798140.5617
MEM 619.453125 1744798140.6669
MEM 619.468750 1744798140.7720
MEM 619.484375 1744798140.8772
MEM 619.500000 1744798140.9823
MEM 619.515625 1744798141.0848
MEM 619.562500 1744798141.1888
MEM 619.546875 1744798141.2930
MEM 619.562500 1744798141.3982
MEM 619.562500 1744798141.5014
MEM 619.593750 1744798141.6065
MEM 619.640625 1744798141.7116
MEM 619.640625 1744798141.8167
MEM 619.656250 1744798141.9208
MEM 619.750000 1744798142.0260
MEM 619.781250 1744798142.1264
MEM 619.812500 1744798142.2316
MEM 619.812500 1744798142.3367
